Feature Id	Aliases	start	end	score	strand	frame	log2_fold_change	p_value	q_value	NCUT	NCU	motif_ID	motif_ALT_ID	FASTA_score	PWM_score
237_gene	237	952740	954620	.	+	0	1.75986264923197	2.81517489604613E-08	1.13640692873987E-06	NCU02182T0	NCU02182	MA0362.1	RDS2	965.0	1.41442
2004_gene	2004	7458424	7458494	.	+	0	1.06601249236924	0.0005076148431431	0.0048302870985644	NCU00714T0	NCU00714				
1748_gene	1748	6632589	6632773	.	+	0	1.8168329404651	1.46079859536868E-10	1.03396525236575E-08	NCU00943T0	NCU00943	MA0362.1	RDS2	2476.0	1.05472
909_gene	909	3285126	3285989	.	-	0	1.19504808617716	0.0003283980742854	0.0033522235682737	NCU02713T0	NCU02713				
2126_gene	2126	7870388	7872256	.	-	0	1.29712274485264	0.001269514982523	0.0100457440113419	NCU00602T0	NCU00602	MA0362.1	RDS2	2854.0	1.09287
333_gene	333	1288285	1290111	.	+	0	1.16706853592532	2.53527017993265E-06	5.69553957378783E-05	NCU02100T0	NCU02100				
2043_gene	2043	7589390	7589722	.	-	0	1.1005935251187	1.83806595548468E-06	4.35655357430703E-05	NCU00677T0	NCU00677				
1064_gene	1064	4252460	4253613	.	-	2	1.91528942759387	1.76023339819501E-21	5.51219755665068E-19	NCU09321T0	NCU09321	MA0362.1	RDS2	1792.0	1.11968
1407_gene	1407	5357807	5357829	.	+	0	1.08600321503447	0.0001059398702304	0.0013017629238541	NCU09111T0	NCU09111				
1295_gene	1295	5002034	5003814	.	-	2	2.79425926512215	6.05845548036059E-06	0.0001138328707891	NCU03235T0	NCU03235	MA0418.1	YAP6	2023.0	5.10919
668_gene	668	2537429	2538595	.	+	0	1.61289450992187	3.62309159626431E-05	0.0005333479851252	NCU02502T0	NCU02502				
714_gene	714	2669229	2669699	.	-	0	1.19739193452997	6.34478846249323E-05	0.0008593321621416	NCU02540T0	NCU02540				
789_gene	789	2871942	2872507	.	-	2	1.41764642919497	0.0006515136824427	0.0058840230380189	NCU02603T0	NCU02603	MA0362.1	RDS2	1517.0	1.78307
2493_gene	2493	9118068	9121265	.	+	0	25.2973056960619	2.57848170932419E-09	1.32567313354011E-07	NCU02793T2	NCU02793	MA0362.1	RDS2	3224.0	1.09954
781_gene	781	2857485	2857799	.	+	0	1.06703551505725	0.0086353391150881	0.0460121243306924	NCU02596T0	NCU02596	MA0362.1	RDS2	1509.0	1.21203
644_gene	644	2459583	2459632	.	+	0	1.0025882722737	3.56513097652653E-06	7.38317906040584E-05	NCU02480T0	NCU02480	MA0362.1	RDS2	1371.0	1.58677
1259_gene	1259	4903727	4903738	.	+	0	1.55165159315682	2.5065386728407E-06	5.64326157846096E-05	NCU03205T0	NCU03205				
365_gene	365	1462848	1463339	.	+	0	2.45276922406441	0.0029121735668897	0.0195672312355256	NCU02071T0	NCU02071				
1945_gene	1945	7252480	7252998	.	-	0	1.11804066549018	4.58862391159972E-11	3.76339996051361E-09	NCU00766T0	NCU00766				
678_gene	678	2577604	2577720	.	-	0	1.09966450730599	1.82923909079509E-07	5.79857569456334E-06	NCU02513T0	NCU02513	MA0416.1	YAP3	1406.0	3.52273
1825_gene	1825	6885559	6885685	.	+	0	1.1170325548535	2.23745498044815E-05	0.0003557440413444	NCU00879T1	NCU00879	MA0416.1	YAP3	2553.0	3.75013
1758_gene	1758	6669835	6669966	.	+	0	9.10914570384498	0.0005524152889128	0.0051615367049053	NCU00936T0	NCU00936	MA0362.1	RDS2	2488.0	1.42603
872_gene	872	3179928	3179932	.	-	2	1.1684812603792	0.0003123997177716	0.0032251135698827	NCU02680T1	NCU02680	MA0362.1	RDS2	1600.0	1.564
476_gene	476	1832558	1832723	.	+	0	1.16761487194008	8.15519886001017E-05	0.0010443100993723	NCU01968T0	NCU01968				
467_gene	467	1804323	1805195	.	-	0	10.113165718886	8.4719597146021E-11	6.48512827338504E-09	NCU01976T0	NCU01976				
561_gene	561	2129252	2129425	.	-	0	1.24149331792585	0.0008394806674744	0.0072413966758605	NCU01891T0	NCU01891				
716_gene	716	2675076	2675121	.	+	0	1.29254413175187	1.09817286010566E-05	0.0001920223068753	NCU02542T0	NCU02542	MA0362.1	RDS2	1445.0	1.15806
434_gene	434	1703238	1704434	.	-	0	3.70389655286505	5.70341288404813E-75	5.89390687437534E-71	NCU02005T0	NCU02005				
1126_gene	1126	4512970	4513419	.	-	0	1.28074781594633	0.0017708072724728	0.0131179371711357	NCU16386T0	NCU16386				
908_gene	908	3282287	3283122	.	+	0	2.41294354393911	3.07485114241141E-08	1.21745255577316E-06	NCU02712T0	NCU02712	MA0362.1	RDS2	1636.0	1.35617
691_gene	691	2609315	2609315	.	+	0	2.28915630588602	4.82475721218169E-14	6.15543716428218E-12	NCU02523T0	NCU02523				
1958_gene	1958	7298899	7300201	.	+	0	1.60939369748093	5.75974593714898E-06	0.0001092311472392	NCU00755T0	NCU00755	MA0362.1	RDS2	2686.0	1.0936
906_gene	906	3275532	3275968	.	+	0	2.25268026000495	0.0018930737064617	0.0138059447301171	NCU02710T0	NCU02710				
1443_gene	1443	5464387	5464555	.	+	0	1.60988911397515	1.41156434137317E-18	3.31525134176144E-16	NCU09138T0	NCU09138				
502_gene	502	1906728	1906752	.	+	0	1.62083496072202	1.71192406687511E-13	2.08129685965734E-11	NCU01945T0	NCU01945				
1693_gene	1693	6481164	6481274	.	+	0	1.50371399392305	1.69172500568181E-06	4.07512499037664E-05	NCU00988T0	NCU00988				
12_gene	12	55262	56845	.	+	0	1.5793661229847	1.33009757783554E-14	1.90601493308345E-12	NCU09912T0	NCU09912				
2175_gene	2175	8000312	8002498	.	+	0	1.66128461409993	1.66390797033715E-06	4.04584116834449E-05	NCU00559T0	NCU00559	MA0362.1	RDS2	2903.0	1.21931
1807_gene	1807	6847952	6849784	.	+	0	1.15476163201212	1.67015091938082E-07	5.39354362527544E-06	NCU00893T0	NCU00893				
522_gene	522	1997390	1997497	.	+	0	1.36500591696885	0.0002041643550773	0.0022565074282021	NCU01926T0	NCU01926	MA0362.1	RDS2	1249.0	1.04816
303_gene	303	1165644	1165915	.	+	0	1.6695204322735	1.91489014055578E-08	8.0115282236856E-07	NCU02124T0	NCU02124	MA0362.1	RDS2	1031.0	1.93205
2197_gene	2197	8071444	8072183	.	-	2	1.0542498328721	7.54412876340326E-05	0.0009856008424906	NCU00541T1	NCU00541				
2188_gene	2188	8048405	8049526	.	-	0	1.45342225086536	1.34642045785844E-14	1.90601493308345E-12	NCU00549T0	NCU00549				
1591_gene	1591	6007618	6007681	.	+	0	1.23829567975991	0.0064919544610458	0.0371911011240245	NCU07415T0	NCU07415	MA0362.1	RDS2	2319.0	1.23394
521_gene	521	1997390	1997497	.	+	0	1.37011186676828	0.0001697252605429	0.0019359170446478	NCU01926T1	NCU01926	MA0362.1	RDS2	1249.0	1.04816
1853_gene	1853	6951833	6953113	.	+	0	1.22848808494788	0.0015784531423703	0.0120204383001144	NCU00853T0	NCU00853				
1534_gene	1534	5791524	5794124	.	+	0	1.34334357225923	0.0016913307584451	0.0126196476951427	NCU09196T0	NCU09196				
428_gene	428	1680784	1680970	.	-	1	1.0507188690668	0.0031919689536777	0.0209012373448462	NCU02011T0	NCU02011	MA0362.1	RDS2	1156.0	1.11737
2199_gene	2199	8094561	8095283	.	-	0	1.57988512644504	1.75234645780379E-06	4.21133681277777E-05	NCU00537T0	NCU00537				
2343_gene	2343	8604284	8604374	.	+	0	1.0044504096567	6.00820160836185E-05	0.0008201949196936	NCU02952T0	NCU02952	MA0362.1	RDS2	3071.0	1.15396
1921_gene	1921	7169619	7169985	.	-	1	1.07570995569603	0.0002824422695166	0.002954208920228	NCU00789T0	NCU00789				
1840_gene	1840	6919628	6921082	.	+	0	1.54237873363112	1.16057085910207E-06	2.99085767031441E-05	NCU00865T0	NCU00865	MA0362.1	RDS2	2568.0	1.1025
722_gene	722	2690944	2691244	.	+	0	1.45567851974542	4.45406454351152E-06	8.80601462942867E-05	NCU02547T0	NCU02547	MA0416.1	YAP3	1450.0	3.91529
2315_gene	2315	8516237	8516246	.	+	0	1.02677819658659	6.22427640157987E-08	2.25690078364654E-06	NCU02979T0	NCU02979				
761_gene	761	2795495	2795527	.	-	0	1.03520910990038	0.000521232532342	0.004923005686771	NCU02579T0	NCU02579				
1494_gene	1494	5633038	5633091	.	-	0	1.19793595409461	8.83427695464725E-08	3.06724554706137E-06	NCU08359T0	NCU08359				
1717_gene	1717	6546116	6547618	.	+	0	1.13700318856236	0.0022940012968952	0.0160829100421405	NCU00968T0	NCU00968				
965_gene	965	3463256	3464209	.	-	0	1.00393529490745	0.0007692707919659	0.0067312822727998	NCU02759T0	NCU02759	MA0362.1	RDS2	1693.0	1.03397
156_gene	156	574657	574716	.	+	0	2.65695422022703	4.83003769947979E-17	9.59877107431233E-15	NCU07453T0	NCU07453				
291_gene	291	1135379	1135498	.	-	0	1.87748659263942	1.63874445443418E-24	6.04813756861529E-22	NCU02133T0	NCU02133	MA0362.1	RDS2	1019.0	1.25448
912_gene	912	3304636	3304649	.	-	2	1.62474049840769	0.009019166942533	0.047383869437792	NCU02718T1	NCU02718	MA0416.1	YAP3	1642.0	1.55292
1652_gene	1652	6227826	6228755	.	+	0	1.23476654516276	4.22044180059367E-06	8.45233441227423E-05	NCU07360T0	NCU07360	MA0362.1	RDS2	2380.0	2.21835
485_gene	485	1853299	1853326	.	+	0	1.22039612574306	0.0005570050998321	0.0051903432837381	NCU01961T0	NCU01961				
184_gene	184	711205	711493	.	-	1	1.26261542143275	0.0001184689530105	0.0014285392770254	NCU10007T1	NCU10007	MA0362.1	RDS2	912.0	1.40787
2628_gene	2628	9692170	9693120	.	-	0	7.18254452643326	0.000560633265803	0.0052147472266501	NCU08640T0	NCU08640	MA0362.1	RDS2	3356.0	1.11345
1219_gene	1219	4793928	4795032	.	-	1	2.08263777852929	9.833958965491E-06	0.0001746119105659	NCU03173T0	NCU03173				
1598_gene	1598	6034776	6035191	.	+	0	6.35292401819348	0.0011153378496168	0.0091185928306492	NCU07410T0	NCU07410	MA0362.1	RDS2	2326.0	1.431
140_gene	140	536393	536446	.	+	0	1.16218670600664	8.43790376737608E-09	3.86948341330994E-07	NCU07467T1	NCU07467				
1049_gene	1049	4203247	4203674	.	-	2	1.44672440087793	2.91907083970376E-08	1.16921232781002E-06	NCU09332T0	NCU09332	MA0362.1	RDS2	1777.0	1.39202
2120_gene	2120	7853920	7854066	.	+	0	2.833655511881	1.76354821204394E-27	9.11225361163104E-25	NCU00608T0	NCU00608	MA0362.1	RDS2	2848.0	1.45254
932_gene	932	3363140	3363179	.	+	0	1.08890856477693	0.0001233653183052	0.0014772389332167	NCU02734T0	NCU02734				
1818_gene	1818	6872844	6872874	.	+	0	1.00044610204665	0.0003297743757955	0.0033575255167203	NCU00884T0	NCU00884	MA0416.1	YAP3	2546.0	1.48947
2200_gene	2200	8096632	8098209	.	+	0	1.4229037349038	1.72696325187646E-07	5.51731707323107E-06	NCU00536T0	NCU00536	MA0362.1	RDS2	2928.0	2.75425
481_gene	481	1844629	1846880	.	+	0	1.07205713575255	3.63069575002132E-08	1.39998544331046E-06	NCU01964T0	NCU01964	MA0362.1	RDS2	1209.0	1.11671
1621_gene	1621	6112190	6112204	.	+	0	1.30457777515261	1.5238770411225E-05	0.0002556452166064	NCU07389T0	NCU07389	MA0416.1	YAP3	2349.0	1.1489
455_gene	455	1775399	1775567	.	+	0	2.9580814435617	9.50173916559873E-28	5.16794592301565E-25	NCU01985T0	NCU01985	MA0362.1	RDS2	1183.0	1.12424
1824_gene	1824	6885559	6885685	.	+	0	1.06676819295667	9.19967034912746E-05	0.0011593828461937	NCU00879T0	NCU00879	MA0416.1	YAP3	2553.0	3.75013
2409_gene	2409	8799319	8800200	.	-	0	1.89257332658307	4.47893278980532E-12	4.36653692923096E-10	NCU02887T0	NCU02887				
1499_gene	1499	5651228	5651266	.	+	0	2.80198084491473	5.04378446392431E-19	1.21215043372544E-16	NCU08355T0	NCU08355				
1893_gene	1893	7074245	7075321	.	-	0	1.08313712469664	0.0005141160685414	0.004869730020447	NCU00814T0	NCU00814	MA0362.1	RDS2	2621.0	1.33212
1860_gene	1860	6968177	6969913	.	+	0	1.89009669259051	0.0011449717157242	0.0092873922372798	NCU00848T0	NCU00848				
342_gene	342	1331868	1332014	.	+	0	1.60680797039594	0.0013639222649526	0.0106295419954907	NCU02092T0	NCU02092				
1017_gene	1017	3993093	3993100	.	+	0	1.11346709416361	0.0001642412234201	0.0018858542253601	NCU09896T0	NCU09896				
2490_gene	2490	9105406	9106058	.	-	2	2.20677954678186	1.24470065833908E-05	0.0002143789433879	NCU10987T0	NCU10987				
2318_gene	2318	8526940	8527551	.	-	0	1.1513068609807	0.0014824204529042	0.0114153002684895	NCU02977T0	NCU02977				
2453_gene	2453	8957686	8958504	.	+	0	1.0722420958455	3.92819280379871E-06	8.00669515472501E-05	NCU02834T0	NCU02834				
1167_gene	1167	4648054	4649037	.	-	0	1.10985916643326	0.0002394355680176	0.0025640695957457	NCU03125T0	NCU03125	MA0362.1	RDS2	1895.0	1.31406
735_gene	735	2731855	2731910	.	+	0	1.50298435157495	5.85600646051504E-08	2.13837352519302E-06	NCU02558T0	NCU02558	MA0362.1	RDS2	1463.0	1.32182
1080_gene	1080	4309083	4312367	.	-	0	1.09015767472863	2.4778568108971E-06	5.60310115619489E-05	NCU09307T0	NCU09307	MA0362.1	RDS2	1808.0	1.10245
814_gene	814	2961041	2962876	.	-	0	1.77872369112775	0.0086235589323036	0.0459834148639971	NCU02625T0	NCU02625				
1161_gene	1161	4628234	4628524	.	+	0	1.03707158041705	0.0010351745853701	0.0085579953321723	NCU03120T1	NCU03120	MA0416.1	YAP3	1889.0	1.33249
2268_gene	2268	8381613	8382167	.	+	0	1.22621150676492	0.000799655070014	0.0069853216344252	NCU03032T0	NCU03032				
2153_gene	2153	7942555	7942574	.	+	0	1.69107683386555	7.68997157648815E-05	0.0009995995757412	NCU00579T0	NCU00579				
914_gene	914	3305096	3307174	.	-	0	1.1834302133195	0.003971450491664	0.0249231196113819	NCU02718T0	NCU02718	MA0416.1	YAP3	1642.0	1.55292
1769_gene	1769	6695569	6697194	.	-	0	1.25927542013732	3.05966251878182E-05	0.0004622595390218	NCU00928T0	NCU00928	MA0416.1	YAP3	2497.0	5.51403
447_gene	447	1749667	1750669	.	-	1	1.21079990462172	2.38159289600412E-06	5.42100902804111E-05	NCU01993T0	NCU01993	MA0416.1	YAP3	1175.0	1.52945
364_gene	364	1459392	1460486	.	-	0	1.44554698684979	0.0022860098645429	0.0160377637068481	NCU02073T0	NCU02073	MA0362.1	RDS2	1092.0	1.15355
1625_gene	1625	6132596	6133885	.	-	0	1.15746756424344	1.19104061847701E-06	3.05414733283907E-05	NCU07385T0	NCU07385	MA0362.1	RDS2	2353.0	1.71663
1882_gene	1882	7036461	7036490	.	+	0	1.02522559070631	3.61643697863413E-06	7.45953288167766E-05	NCU00828T0	NCU00828	MA0362.1	RDS2	2610.0	1.60318
429_gene	429	1686359	1686505	.	-	0	1.22726071812075	3.98703497077526E-07	1.17051191443158E-05	NCU02010T0	NCU02010	MA0362.1	RDS2	1157.0	1.77254
528_gene	528	2027524	2028190	.	-	1	7.20308634905371	0.0002087903310055	0.0022978054106619	NCU16346T0	NCU16346	MA0362.1	RDS2	1256.0	1.17338
183_gene	183	711205	711493	.	-	1	1.23333034571519	9.53469735134157E-05	0.0011943219688335	NCU10007T0	NCU10007	MA0362.1	RDS2	912.0	1.40787
1949_gene	1949	7271867	7272673	.	-	0	1.11858139946762	0.0002308160564984	0.0025002653331814	NCU00762T0	NCU00762				
302_gene	302	1165875	1165915	.	+	0	2.62004340231454	3.55719142794195E-13	4.13033890071371E-11	NCU02124T1	NCU02124	MA0362.1	RDS2	1031.0	1.93205
2100_gene	2100	7772874	7773116	.	-	0	1.08170836365642	3.03975161181677E-08	1.20818435217364E-06	NCU00627T0	NCU00627				
3098_gene	3098	1931331	1931667	.	+	0	1.28915209433728	1.09146224759325E-07	3.68600355118582E-06	NCU06790T0	NCU06790	MA0362.1	RDS2	3826.0	1.55814
2912_gene	2912	1028942	1030063	.	+	0	1.09782638426281	0.0021977741048713	0.0155666878682255	NCU11245T0	NCU11245				
2926_gene	2926	1053746	1056997	.	-	0	1.09923035572732	0.0001815247212611	0.002050138218047	NCU03336T0	NCU03336				
3084_gene	3084	1882956	1885389	.	-	1	1.41934802983277	0.0041600136930413	0.0257885911840966	NCU06809T0	NCU06809				
3293_gene	3293	2620221	2621078	.	-	0	1.43263849238732	0.0051400692634316	0.0307570791941534	NCU01728T0	NCU01728	MA0362.1	RDS2	4021.0	1.12571
2758_gene	2758	467621	467741	.	+	0	3.35954958829699	1.98811284235415E-41	3.42419301881464E-38	NCU03500T0	NCU03500	MA0362.1	RDS2	3486.0	2.01956
3354_gene	3354	2805477	2805514	.	+	0	2.72516153780213	0.0001022145537382	0.0012634990410653	NCU01652T0	NCU01652	MA0362.1	RDS2	4082.0	1.05947
3458_gene	3458	3180976	3181101	.	+	0	1.81842277571969	1.7106934725569E-09	9.15974422041608E-08	NCU01528T0	NCU01528				
3373_gene	3373	2888377	2888522	.	+	0	2.01649044022827	2.59799904171382E-07	8.08666328225017E-06	NCU01633T0	NCU01633				
3189_gene	3189	2293837	2294108	.	+	0	2.02391366857435	3.00999770580713E-10	1.93200722309385E-08	NCU01821T0	NCU01821	MA0362.1	RDS2	3917.0	2.06581
3631_gene	3631	3959046	3960068	.	-	0	3.1548934061723	0.0083244761452005	0.0447581355278368	NCU16587T0	NCU16587	MA0362.1	RDS2	4359.0	1.11218
3622_gene	3622	3881835	3883688	.	+	0	1.96331020697087	3.70250578340744E-05	0.0005427190746912	NCU08749T0	NCU08749				
3512_gene	3512	3392278	3392352	.	+	0	1.29369193697239	0.0020054982231969	0.0144726387140485	NCU08517T0	NCU08517				
3651_gene	3651	4022392	4022745	.	+	0	1.69939795282593	0.0075448541762771	0.041583212297412	NCU10245T0	NCU10245				
3011_gene	3011	1608197	1608281	.	+	0	1.76486789214397	6.70067236638483E-10	4.00258660313415E-08	NCU05429T1	NCU05429				
3513_gene	3513	3395284	3395642	.	-	2	1.49453578624936	2.33552056046471E-05	0.0003673556997236	NCU08516T0	NCU08516				
2903_gene	2903	992206	994041	.	-	0	1.59110903574602	1.76470464710567E-08	7.4131942370691E-07	NCU03356T0	NCU03356	MA0362.1	RDS2	3631.0	1.11568
2887_gene	2887	942330	943478	.	+	0	1.2396337383908	1.76612206178462E-05	0.0002924856632449	NCU03369T0	NCU03369				
2762_gene	2762	479833	482004	.	-	0	1.02322061701432	0.0033591164693327	0.0218047170817113	NCU03496T0	NCU03496	MA0416.1	YAP3	3490.0	2.00968
3670_gene	3670	4086066	4087695	.	-	1	1.46501669731529	0.0011387777729007	0.0092516741392739	NCU08443T0	NCU08443	MA0362.1	RDS2	4398.0	1.28825
3662_gene	3662	4057221	4060108	.	+	0	1.10389292154088	7.96421749467959E-05	0.0010270177731975	NCU08435T0	NCU08435				
2957_gene	2957	1416630	1417070	.	-	0	1.31219511373834	1.36446087720287E-09	7.54028807754787E-08	NCU05360T0	NCU05360				
2966_gene	2966	1457886	1458780	.	+	0	1.28845215386466	0.0009507054187272	0.0079976389472635	NCU05377T0	NCU05377				
3661_gene	3661	4053826	4054394	.	-	2	1.89655986466825	6.57327629900694E-11	5.18536162396471E-09	NCU08434T0	NCU08434				
2665_gene	2665	84724	84787	.	+	0	1.22311686778595	0.0010078814083027	0.0083725453966239	NCU09600T0	NCU09600	MA0362.1	RDS2	3393.0	2.39339
2808_gene	2808	654024	655472	.	-	0	7.1531425782248	1.00712211179527E-06	2.6482442502016E-05	NCU10684T0	NCU10684				
3492_gene	3492	3290374	3291378	.	-	0	3.01379583536219	0.0005094114247001	0.0048384721165911	NCU01493T0	NCU01493				
3717_gene	3717	4307112	4308131	.	-	0	1.55649677125379	4.33961873802033E-05	0.0006216305656713	NCU11417T0	NCU11417				
3514_gene	3514	3398341	3399480	.	-	0	1.52279079089447	7.74571382156572E-17	1.48230012281593E-14	NCU08515T0	NCU08515	MA0362.1	RDS2	4242.0	1.0209
3473_gene	3473	3222375	3222450	.	-	1	1.33382673617305	5.76069046307057E-06	0.0001092311472392	NCU01514T0	NCU01514				
3681_gene	3681	4178109	4178143	.	+	0	1.99613960220716	2.62917716417476E-30	1.8113277876388E-27	NCU09345T1	NCU09345				
3668_gene	3668	4077273	4077725	.	+	0	2.31267463955889	5.9209386109616E-05	0.0008093515820856	NCU08441T0	NCU08441	MA0362.1	RDS2	4396.0	1.06528
3620_gene	3620	3875481	3877020	.	-	1	6.57799269207232	6.57872690401811E-05	0.0008818690523504	NCU08747T0	NCU08747	MA0362.1	RDS2	4348.0	1.20248
