	Feature_ID	List	log2_fold_change_10m	log2_fold_change_1hr	q_value_10m	NCUT_10m	NCU_10m	motif_ID_10m	motif_ALT_ID_10m	FASTA_score_10m	PWM_score_10m	q_value_1hr	NCUT_1hr	NCU_1hr	motif_ID_1hr	motif_ALT_ID_1hr	FASTA_score_1hr	PWM_score_1hr
47	6178_gene	10m	1.42068530113315	-0.246342919653162	0.0010058644999455	NCU16822T0	NCU16822											
48	6427_gene	10m	1.59399360843375	0.397027977096489	0.0002894889014857	NCU07263T0	NCU07263											
49	5644_gene	10m	1.52000961964998	0.652712222549897	1.0270129552884E-05	NCU06625T0	NCU06625											
50	4247_gene	10m	1.39176852682652	0.697962847078797	3.80872818184378E-06	NCU06259T0	NCU06259	MA0362.1	RDS2	4975.0	1.25783							
51	5616_gene	10m	1.11833406471052	-0.0555241480069602	0.0391490316250705	NCU06597T0	NCU06597											
52	8848_gene	10m	1.05045025435415	0.365274380903203	0.0289035510735402	NCU09792T0	NCU09792	MA0362.1	RDS2	9576.0	1.04262							
53	4188_gene	10m	1.46299261083461	0.180563224529906	1.7174689770823E-06	NCU06211T0	NCU06211											
54	5167_gene	10m	1.32892515853822	-0.616250026839612	0.017267676874605	NCU08752T0	NCU08752											
55	9493_gene	10m	1.91707742976038	1.78803002584002	0.0249348005442037	NCU05114T0	NCU05114											
56	9444_gene	10m	1.40162393457747	-1.15618127301687	0.0003185707379498	NCU05159T0	NCU05159											
57	8775_gene	10m	1.33260267833653	-0.152973781266491	0.0454382697408918	NCU04795T0	NCU04795	MA0362.1	RDS2	9503.0	1.23175							
58	4385_gene	10m	1.47003934758989	0.224103515873021	7.56221792611207E-13	NCU00104T0	NCU00104	MA0362.1	RDS2	5113.0	1.36569							
59	3902_gene	10m	7.22992715480665	-0.280142785448076	0.0005094964271717	NCU05698T0	NCU05698	MA0362.1	RDS2	4630.0	2.25126							
60	4786_gene	10m	1.31432854916405	-0.264544254297263	0.0001459228236191	NCU00456T0	NCU00456	MA0416.1	YAP3	5514.0	3.42426							
61	8828_gene	10m	1.15485978150233	0.0303230164409979	0.0398713417001586	NCU04845T0	NCU04845	MA0362.1	RDS2	9556.0	1.18725							
62	8894_gene	10m	1.18504933949862	-0.425680586874353	3.15738206174197E-06	NCU05620T0	NCU05620											
63	4189_gene	10m	1.7410603408384	0.294448852476044	7.61950459779611E-08	NCU06211T1	NCU06211											
64	4481_gene	10m	7.49199681999544	1.74609719107808	0.0015721506614036	NCU00185T0	NCU00185											
65	5115_gene	10m	1.1398255897001	0.892176562369419	0.0297605920990333	NCU08795T0	NCU08795	MA0362.1	RDS2	5843.0	1.1534							
66	4718_gene	10m	1.04449381241979	0.524212376632761	0.0466919847757833	NCU16683T0	NCU16683											
67	9091_gene	10m	1.10358664141083	-0.683127291824498	4.51505182203174E-05	NCU03877T0	NCU03877	MA0362.1	RDS2	9820.0	1.72123							
68	4078_gene	10m	1.31787675876108	0.82475410430897	0.0147425611524569	NCU06452T0	NCU06452	MA0362.1	RDS2	4806.0	2.12649							
69	4490_gene	10m	2.48962758470636	1.24773901749767	1.04885160915157E-05	NCU00195T0	NCU00195	MA0362.1	RDS2	5218.0	1.63072							
70	3909_gene	10m	4.64452882740203	-1.67941386837683	0.0390056178952545	NCU05707T0	NCU05707	MA0362.1	RDS2	4637.0	1.65234							
71	3927_gene	10m	1.93954537124947	0.92361738188322	2.67628902362278E-06	NCU05722T0	NCU05722											
72	4298_gene	10m	1.88662971870209	0.877188104876327	4.08665947407333E-23	NCU00028T0	NCU00028	MA0362.1	RDS2	5027.0	1.6241							
73	8767_gene	10m	1.76729288050322	0.27585863604272	1.59586246134126E-10	NCU04791T0	NCU04791	MA0416.1	YAP3	9498.0	3.73912							
74	9482_gene	10m	5.71669605357984	0.169102309239853	0.0199218988724774	NCU17138T0	NCU17138											
75	9207_gene	10m	1.04282519302753	-0.201600769043896	3.16792435927617E-07	NCU03992T0	NCU03992	MA0416.1	YAP3	9935.0	1.96749							
76	4867_gene	10m	1.19707915924066	0.422569936439452	0.0162692789822341	NCU08996T0	NCU08996	MA0362.1	RDS2	5595.0	2.97436							
77	9019_gene	10m	3.34447705786663	1.49626765167599	0.0012622794091129	NCU05510T0	NCU05510											
78	4146_gene	10m	19.2812346781401	-0.494496711544745	0.0001087284117833	NCU06173T1	NCU06173	MA0362.1	RDS2	4874.0	1.41766							
79	9441_gene	10m	2.13207647720676	1.37405850188441	0.0081013623499676	NCU05908T0	NCU05908	MA0362.1	RDS2	10169.0	1.23416							
80	4844_gene	10m	1.40100810025333	0.578341235928072	0.0195079631396298	NCU08978T0	NCU08978											
81	4958_gene	10m	1.14875260032075	0.863464062560609	9.70438198465069E-06	NCU11367T0	NCU11367	MA0362.1	RDS2	5686.0	1.13257							
82	9033_gene	10m	6.2685394688735	2.24332413612287	0.0307301747570521	NCU12104T0	NCU12104											
83	8687_gene	10m	1.4902104965871	0.859092813553829	0.0013280875346492	NCU04721T0	NCU04721	MA0362.1	RDS2	9415.0	1.18205							
84	4142_gene	10m	1.47656073040661	0.125474433163163	6.93964330446419E-05	NCU06512T0	NCU06512	MA0362.1	RDS2	4870.0	1.46008							
85	4589_gene	10m	1.01259385869591	-0.236223349262998	0.0109041060672024	NCU00281T0	NCU00281	MA0362.1	RDS2	5317.0	1.1476							
86	4976_gene	10m	1.08812871829342	0.234733412530592	0.0005944896932805	NCU08190T0	NCU08190	MA0362.1	RDS2	5704.0	2.19828							
87	4034_gene	10m	1.42376104155018	0.483643025013311	0.0001852083052898	NCU06414T0	NCU06414	MA0362.1	RDS2	4762.0	1.53102							
88	4287_gene	10m	1.01833391351414	-0.738313409667813	0.0003044994405696	NCU00018T0	NCU00018	MA0362.1	RDS2	5016.0	1.33927							
89	4734_gene	10m	2.56172975804901	2.02194952903169	0.0100127794546879	NCU00409T0	NCU00409	MA0362.1	RDS2	5463.0	1.2874							
90	4275_gene	10m	6.51863066996658	1.59903016239458	0.01297852131158	NCU16648T0	NCU16648	MA0362.1	RDS2	5003.0	1.46088							
91	4928_gene	10m	1.54792098046666	0.559218081159212	7.31991142860025E-08	NCU07550T0	NCU07550											
92	4843_gene	10m	1.24210575418673	0.248239876481688	3.71674929477194E-05	NCU08977T0	NCU08977	MA0362.1	RDS2	5571.0	1.02742							
93	3895_gene	10m	1.6487922563656	0.935154746981089	0.0003114688795667	NCU05693T0	NCU05693											
94	4345_gene	10m	1.33159183231391	0.651914961612677	0.0454398466536235	NCU00069T0	NCU00069	MA0362.1	RDS2	5073.0	1.94102							
95	4808_gene	10m	6.41486612575658	0.37727635673192	0.0241971640095597	NCU00474T0	NCU00474	MA0362.1	RDS2	5536.0	2.18046							
96	4595_gene	10m	5.74838945398056	-2.12715048614973	0.0090416449332409	NCU00285T1	NCU00285											
97	9001_gene	10m	3.92733078569533	0.503272978819864	1.79080382779072E-05	NCU05524T0	NCU05524											
98	4666_gene	10m	1.14487355848569	0.211838686234742	0.0421719090830873	NCU00350T0	NCU00350											
99	4823_gene	10m	1.10022234615198	0.00312640631590193	0.0428966408669689	NCU11185T1	NCU11185	MA0362.1	RDS2	5551.0	1.74019							
100	4202_gene	10m	1.13078520672573	0.725048202440884	0.0194927517042501	NCU06223T0	NCU06223	MA0362.1	RDS2	4930.0	1.3812							
101	4895_gene	10m	1.11188789200232	0.863846226109204	0.0010150407851275	NCU09017T0	NCU09017											
102	4288_gene	10m	1.04485674119587	-0.673912297680118	8.44310227470667E-05	NCU00018T1	NCU00018	MA0362.1	RDS2	5016.0	1.33927							
103	4567_gene	10m	1.0755588045228	0.911373932576053	0.0002049474968951	NCU00260T0	NCU00260	MA0362.1	RDS2	5295.0	1.83336							
104	3387_gene	10m	1.51617727448832	0.653684876640051	8.74684690263194E-10	NCU01611T0	NCU01611	MA0362.1	RDS2	4115.0	1.20578							
105	9008_gene	10m	2.07442284501643	0.772143797760802	2.66597325452158E-18	NCU05518T0	NCU05518	MA0362.1	RDS2	9736.0	1.38771							
106	5893_gene	10m	1.27199988636345	0.677916884559034	5.08495350948395E-05	NCU06361T1	NCU06361	MA0418.1	YAP6	6620.0	5.07929							
107	7376_gene	10m	1.39944657570865	0.347776910799725	1.92205059000798E-05	NCU03803T0	NCU03803											
108	7341_gene	10m	1.38056106557315	0.751663178421088	4.42807243090468E-05	NCU03771T0	NCU03771											
109	7668_gene	10m	1.04495790501015	0.651143083526198	0.0242023263085628	NCU01252T0	NCU01252	MA0362.1	RDS2	8396.0	1.13171							
110	8034_gene	10m	5.67010312183774	-0.223706894655765	0.0205630807425812	NCU01462T0	NCU01462											
111	7860_gene	10m	3.1540080231459	0.661496153457985	4.57803093270966E-40	NCU01424T0	NCU01424											
112	6946_gene	10m	23.1496350904774	4.50951687099691	1.87985993212138E-06	NCU08919T1	NCU08919											
113	6793_gene	10m	4.12243088923667	2.82969087181104	0.0252888740446918	NCU08881T0	NCU08881	MA0416.1	YAP3	7521.0	10.6423							
114	7112_gene	10m	1.05447853128042	0.680283743845872	0.0050005636508837	NCU04601T0	NCU04601											
115	7461_gene	10m	1.45675788859008	0.835509767322287	8.58520386366789E-05	NCU01044T0	NCU01044											
116	8479_gene	10m	1.92563187908188	-0.923160507393462	0.037902829530256	NCU07202T0	NCU07202	MA0362.1	RDS2	9207.0	2.1588							
117	8134_gene	10m	1.05833389405917	-0.637183933234824	0.0008957535657462	NCU04142T0	NCU04142											
118	6848_gene	10m	1.087854898554	-0.230795971289479	0.0020351516543412	NCU07807T0	NCU07807	MA0362.1	RDS2	7577.0	1.64933							
119	7713_gene	10m	1.05635903189416	0.769984921831772	7.46143142427668E-05	NCU01289T0	NCU01289											
120	7342_gene	10m	9.96055786544706	0.761815748301227	1.72451429117829E-08	NCU03773T1	NCU03773											
121	7970_gene	10m	1.53276226237351	0.562918002688705	3.33568758641263E-12	NCU06726T0	NCU06726	MA0362.1	RDS2	8698.0	1.32104							
122	7246_gene	10m	1.11662635651689	-0.3097920085909	0.0023362711759383	NCU03684T1	NCU03684	MA0362.1	RDS2	7974.0	1.29559							
123	7040_gene	10m	1.16399508151189	0.257634708718522	2.42598547717909E-05	NCU04662T0	NCU04662											
124	7810_gene	10m	1.74556272103384	0.712298506237219	2.29083263947992E-06	NCU01376T0	NCU01376											
125	7856_gene	10m	1.67214540805479	0.789831907664101	1.57565807481169E-09	NCU01420T0	NCU01420											
126	7985_gene	10m	1.58981110460533	-0.0570792007649234	1.93542899390541E-06	NCU09533T0	NCU09533											
127	6849_gene	10m	1.0873397857507	-0.223153901289779	0.002114599823517	NCU07807T1	NCU07807	MA0362.1	RDS2	7577.0	1.64933							
128	7591_gene	10m	1.13951010458362	0.0316925402271607	3.37352473695516E-05	NCU01172T0	NCU01172											
129	8332_gene	10m	1.73201172911153	0.773477948463928	3.11714396559398E-07	NCU08924T0	NCU08924	MA0362.1	RDS2	9060.0	1.49984							
130	7833_gene	10m	1.23284704375877	0.230450126873145	4.81081218755114E-05	NCU01399T0	NCU01399											
131	8301_gene	10m	1.15318839177872	0.673405918408006	0.0023934258990728	NCU04305T0	NCU04305	MA0362.1	RDS2	9029.0	1.49609							
132	7914_gene	10m	1.29813501218792	0.729730667085736	0.0070159281942508	NCU06681T0	NCU06681											
133	8325_gene	10m	1.51804538059947	0.630087856932774	0.0027665514779038	NCU04329T0	NCU04329	MA0362.1	RDS2	9053.0	1.68773							
134	7650_gene	10m	1.02484427421249	0.242473541071727	0.0048761809362793	NCU01230T0	NCU01230	MA0362.1	RDS2	8378.0	2.23075							
135	6838_gene	10m	21.4430983418559	-0.0309803971722243	1.28991101377727E-05	NCU08847T0	NCU08847	MA0362.1	RDS2	7567.0	1.3566							
136	7297_gene	10m	1.56183750782087	-0.161084079203626	4.66359498710287E-08	NCU03739T0	NCU03739	MA0362.1	RDS2	8025.0	1.11689							
137	7476_gene	10m	4.21899970691512	1.78445315378078	0.0169695238064961	NCU01057T0	NCU01057	MA0362.1	RDS2	8205.0	2.09684							
138	7294_gene	10m	1.30344499641029	0.448810082818049	6.26246032871593E-07	NCU03736T0	NCU03736											
139	8364_gene	10m	1.10714812280885	0.098089449282232	0.0159626228101852	NCU08949T2	NCU08949											
140	7218_gene	10m	1.27599592770884	0.194402660068922	0.0188051912784639	NCU03648T0	NCU03648											
141	7086_gene	10m	1.52669264438305	0.44002125721616	0.0080508411685683	NCU04621T0	NCU04621	MA0416.1	YAP3	7814.0	1.31024							
142	8345_gene	10m	2.48385176618924	0.740652377384724	2.70584635344145E-09	NCU08935T0	NCU08935	MA0416.1	YAP3	9073.0	6.87078							
143	7530_gene	10m	1.28578245104426	0.751998282986418	0.0002024955671733	NCU01107T0	NCU01107											
144	7369_gene	10m	1.73511203275444	0.648803897050528	3.08167140250575E-14	NCU03796T0	NCU03796	MA0362.1	RDS2	8097.0	1.15915							
145	7526_gene	10m	5.3775669216666	0.49110199319814	0.0437948715297769	NCU01103T0	NCU01103											
146	6988_gene	10m	1.60334275247246	0.713934161325484	0.0003432825370054	NCU09698T0	NCU09698	MA0362.1	RDS2	7716.0	1.03552							
147	7245_gene	10m	1.14584286188505	-0.274734100658693	0.0013395525675856	NCU03684T0	NCU03684	MA0362.1	RDS2	7974.0	1.29559							
148	7290_gene	10m	1.19206798663942	0.802937724054326	6.0753325089137E-05	NCU03731T0	NCU03731	MA0362.1	RDS2	8018.0	1.37585							
149	8481_gene	10m	1.14245063646607	-0.462369794129386	0.0006102693668463	NCU07200T0	NCU07200	MA0416.1	YAP3	9209.0	2.97072							
150	7554_gene	10m	1.1560850696749	-0.52708558440371	5.88739323936805E-05	NCU01140T0	NCU01140											
151	7861_gene	10m	1.3203010579643	0.8500393479289	9.32457744450977E-09	NCU01425T0	NCU01425											
152	8457_gene	10m	1.58791417828263	-0.504615373041024	0.0001589861546948	NCU07225T0	NCU07225	MA0362.1	RDS2	9185.0	1.2791							
153	6864_gene	10m	1.23343268287797	-0.0590720225022193	0.00502539767564	NCU07791T0	NCU07791	MA0362.1	RDS2	7592.0	1.02436							
154	7937_gene	10m	1.98221697454853	-0.0736377127984799	3.6916928431677E-11	NCU06698T0	NCU06698	MA0362.1	RDS2	8665.0	1.44791							
155	8335_gene	10m	1.13985715199073	0.483689391386724	0.0200521667100735	NCU08927T0	NCU08927	MA0416.1	YAP3	9063.0	7.99831							
156	7204_gene	10m	1.34322436892541	-0.90162388926607	0.0044497451896318	NCU03636T1	NCU03636											
157	6741_gene	10m	1.28089952640559	0.153549497665583	0.0153570314992993	NCU05197T0	NCU05197											
158	8084_gene	10m	7.77577300381444	-1.26129114076603	0.0001486719547815	NCU04096T0	NCU04096	MA0362.1	RDS2	8812.0	1.68994							
159	8363_gene	10m	1.10750703886724	0.101785474484022	0.014860406007464	NCU08949T1	NCU08949											
160	6520_gene	10m	1.09249714294289	-0.441650406638629	1.85772178825166E-09	NCU07027T0	NCU07027	MA0362.1	RDS2	7248.0	1.27							
161	8791_gene	10m	4.80297895563493	-1.41524452885002	1.75672826430186E-08	NCU04807T2	NCU04807	MA0362.1	RDS2	9518.0	1.1725							
162	8666_gene	10m	1.85092926820833	-0.0553895770776539	4.24921995328689E-08	NCU04699T0	NCU04699											
163	9210_gene	10m	1.06625579309002	0.545016452512135	0.0013763990738934	NCU03995T0	NCU03995											
164	5537_gene	10m	1.02460823738109	0.270831739794287	0.0056982436162068	NCU06524T0	NCU06524	MA0418.1	YAP6	6265.0	10.3906							
165	8893_gene	10m	1.09342511757709	-0.417820316497307	7.04579571812615E-05	NCU05620T1	NCU05620											
166	6592_gene	10m	2.97531398527291	1.02551259889794	0.0025640695957457	NCU09933T0	NCU09933											
167	5527_gene	10m	6.04920150132837	0.108064072377066	0.0421719090830873	NCU06514T0	NCU06514											
168	6368_gene	10m	11.3299280390697	0.949829873498861	2.18175236631972E-07	NCU07314T1	NCU07314	MA0362.1	RDS2	7096.0	1.23544							
169	6339_gene	10m	1.5335228233012	0.170297536848208	0.004561847201264	NCU07340T0	NCU07340	MA0362.1	RDS2	7067.0	1.27345							
170	6185_gene	10m	1.15391187177529	0.263296442502226	6.86308399991652E-09	NCU04343T0	NCU04343											
171	5518_gene	10m	1.01083534393804	-0.000752182196187905	0.0203485785486606	NCU07898T0	NCU07898	MA0362.1	RDS2	6246.0	2.89139							
172	8558_gene	10m	1.70244675790901	-0.517729701854017	0.0226921353216419	NCU07134T0	NCU07134											
173	6403_gene	10m	1.04710871641654	0.0870271112697587	0.012023481932495	NCU07288T1	NCU07288	MA0362.1	RDS2	7131.0	2.04854							
174	6279_gene	10m	1.56236348366737	0.904174714318091	3.12514718985255E-07	NCU08694T0	NCU08694											
175	6630_gene	10m	1.08817880565592	-0.297990723863275	0.0031760933405579	NCU05295T0	NCU05295	MA0362.1	RDS2	7358.0	1.99041							
176	6209_gene	10m	1.67968341531973	0.268867858381216	6.61367920993854E-07	NCU07987T0	NCU07987											
177	5678_gene	10m	1.08771548324384	0.274393879873074	7.19328926085556E-06	NCU09727T0	NCU09727											
178	6598_gene	10m	1.32028061587239	-0.486438455242586	0.0438952700762963	NCU09923T0	NCU09923											
179	5938_gene	10m	2.95344132023773	-0.395748154733723	7.34185922358978E-05	NCU06320T2	NCU06320											
180	5958_gene	10m	1.55122617129668	-1.0594496595828	3.06724554706137E-06	NCU06301T0	NCU06301											
181	5801_gene	10m	1.05474389953105	-0.00235284578058149	4.76704587987425E-07	NCU08303T0	NCU08303											
182	5929_gene	10m	1.37456655286985	-0.748165255529189	0.0055159847172444	NCU06327T0	NCU06327											
183	6029_gene	10m	1.30637881926187	0.563077488657382	0.0033522235682737	NCU04480T0	NCU04480	MA0362.1	RDS2	6757.0	1.06993							
184	5836_gene	10m	1.728604804149	0.978567467659226	3.81883102040723E-05	NCU08272T0	NCU08272											
185	6057_gene	10m	1.2192356958458	0.682198479954923	5.53222104278928E-05	NCU04454T0	NCU04454											
186	7753_gene	10m	1.93994457950037	1.18451065756462	0.0163611021793606	NCU01324T1	NCU01324											
187	7301_gene	10m	1.19839181802197	0.335770728736651	0.0038849341391408	NCU03741T0	NCU03741	MA0416.1	YAP3	8029.0	2.14745							
188	7179_gene	10m	1.84421080777643	0.923425343617327	3.45966529227217E-05	NCU03608T0	NCU03608											
189	7500_gene	10m	1.18093530209246	0.268051640038293	0.0105034660436938	NCU01078T0	NCU01078	MA0362.1	RDS2	8228.0	1.10028							
190	8029_gene	10m	22.446223980573	-0.301947945581112	4.18053125350052E-06	NCU01465T3	NCU01465	MA0362.1	RDS2	8758.0	1.47838							
191	7135_gene	10m	1.34668299997226	-0.0292924108653905	0.0025477304226156	NCU04579T0	NCU04579											
192	5577_gene	10m	1.20496540354302	-0.317104669533412	0.016991767242435	NCU06558T0	NCU06558											
193	6561_gene	10m	1.14772485995881	0.0506929739438253	0.0297754671341641	NCU08827T1	NCU08827	MA0362.1	RDS2	7289.0	1.22905							
194	5606_gene	10m	1.18149335857671	0.622960133045571	2.04478601807146E-06	NCU06587T0	NCU06587	MA0362.1	RDS2	6334.0	1.53455							
195	8933_gene	10m	1.26746848095904	0.454699967573728	0.0001603837921257	NCU05585T0	NCU05585	MA0362.1	RDS2	9661.0	1.07898							
196	9597_gene	10m	1.0386374895805	0.508748880064916	0.0130056717279184	NCU05012T0	NCU05012											
197	5501_gene	10m	1.91384364491543	0.0120196960197871	2.72274816290503E-10	NCU07914T0	NCU07914											
198	5489_gene	10m	1.3395854789965	0.639370151753991	0.008172900676009	NCU07925T1	NCU07925	MA0362.1	RDS2	6217.0	2.26872							
199	5587_gene	10m	1.39479219679835	0.586893253009629	0.0003759230682621	NCU06569T0	NCU06569											
200	9229_gene	10m	1.02697499569171	0.303757122909827	0.0125603283262527	NCU04015T0	NCU04015											
201	6423_gene	10m	1.07340768158811	0.929986984905522	0.0008357710118684	NCU07267T0	NCU07267	MA0418.1	YAP6	7151.0	12.5256							
202	6637_gene	10m	1.61115864883393	0.0429105639492086	0.0001090036257455	NCU05288T0	NCU05288											
203	9530_gene	10m	1.18019898151423	0.228598210998988	3.16182139960737E-10	NCU05075T0	NCU05075											
204	5928_gene	10m	2.02533275808838	-1.6764290979024	0.0064083871551775	NCU06328T0	NCU06328											
205	5992_gene	10m	1.54554594269543	0.390128129985968	1.01233015817375E-06	NCU04510T0	NCU04510											
206	6273_gene	10m	1.35221401510706	0.358059590865333	1.15894668720797E-08	NCU08044T0	NCU08044											
207	5774_gene	10m	1.37769081201814	0.860922958514239	0.0019318036373377	NCU08330T0	NCU08330											
208	5891_gene	10m	1.22504813739739	0.628191905459052	0.0001446247393561	NCU06361T0	NCU06361	MA0418.1	YAP6	6620.0	5.07929							
209	7893_gene	10m	1.60945485410708	0.829419878168778	5.03847284026272E-09	NCU06662T0	NCU06662											
210	8731_gene	10m	1.03730083524387	0.963764364878953	0.0017852647951578	NCU04762T0	NCU04762											
211	6872_gene	10m	1.40954945134384	0.784112930683903	0.0003366794674771	NCU07782T0	NCU07782											
212	9892_gene	10m	1.61392917564741	0.849113625035734	0.0008957535657462	NCU09575T0	NCU09575											
213	2141_gene	10m	1.14516255760963	0.901007935749013	6.61367920993854E-07	NCU00587T0	NCU00587											
214	184_gene	10m	1.26261542143275	0.578679091705817	0.0014285392770254	NCU10007T1	NCU10007	MA0362.1	RDS2	912.0	1.40787							
215	485_gene	10m	1.22039612574306	0.882854376201387	0.0051903432837381	NCU01961T0	NCU01961											
216	2301_gene	10m	1.01365289278476	0.964149049915761	0.0119237766008111	NCU02996T0	NCU02996											
217	694_gene	10m	1.63928256451115	0.822510952277757	2.35440696422396E-08	NCU02526T0	NCU02526											
218	1479_gene	10m	1.8541602537918	0.738390970236788	0.0008602006182746	NCU08371T0	NCU08371											
